Asset,Pattern,h,N_pattern,N_nonpattern,Mean_pattern,Std_pattern,Median_pattern,Positive_ratio,t_test_pvalue_vs_0,Mann_Whitney_pvalue_pattern_vs_nonpattern,Levene_pvalue_pattern_vs_nonpattern,KS_pvalue_pattern_vs_nonpattern
EUR/USD,bearish_engulfing,1,3424,35374,1.4793351354411286e-05,0.001041763688009513,8.645004448362095e-06,0.5017523364485982,0.4060713496310908,0.3705492132640126,0.041233246951267545,0.40016913077895055
EUR/USD,bearish_engulfing,3,3424,35372,-3.782861047093573e-06,0.0017552987750530592,3.533761232931463e-05,0.5102219626168224,0.8996553169168383,0.4403603113578094,0.3700622638567903,0.416630146230508
EUR/USD,bearish_engulfing,5,3424,35370,-1.2751129686263681e-05,0.0022213326392681158,6.90602708414215e-05,0.5169392523364486,0.7369715653421784,0.5255484798490874,0.559371933905536,0.15040155068301664
EUR/USD,bullish_engulfing,1,3410,35388,-2.433712979733277e-05,0.0010098558932895758,-3.205046122697638e-05,0.4785923753665689,0.15942917875362936,0.02558566209691542,0.5459138211328713,0.021681874079109504
EUR/USD,bullish_engulfing,3,3410,35386,-2.1016475573810974e-05,0.0017383255194024863,-9.230048876579067e-06,0.4935483870967742,0.48023509712765544,0.3378891697040154,0.11173880468298024,0.30307650523954943
EUR/USD,bullish_engulfing,5,3410,35384,-6.803261456293086e-06,0.002215462238114796,-1.701507363975944e-05,0.4912023460410557,0.8576966891278692,0.447164324462497,0.2024056661823329,0.5177806858992228
EUR/USD,doji,1,3947,34851,1.762189252094391e-05,0.000991549181964155,0.0,0.4958196098302508,0.26426171897365086,0.765871093617769,0.9431513578166625,0.7719099277461936
EUR/USD,doji,3,3946,34850,1.9424376347726802e-05,0.001675697010686244,1.8617957005437043e-05,0.5055752660922453,0.4665554678653052,0.2712362734560755,0.9720103755339072,0.3788129298313134
EUR/USD,doji,5,3945,34849,8.563616645945598e-05,0.0021594431514994077,6.57730922517534e-05,0.5163498098859316,0.01278639079088873,0.012554842998975075,0.7860001244223552,0.031014189036444706
EUR/USD,evening_star,1,2077,36721,3.0199170135760577e-06,0.001112677127186772,2.6330687100681958e-05,0.5132402503610978,0.9015705598177074,0.4168233058301386,4.0404459934329615e-06,0.0027775583844436595
EUR/USD,evening_star,3,2077,36719,1.01589817566716e-06,0.0017620468962987225,5.1096879694897866e-05,0.5223880597014925,0.9790401228323286,0.4718325639013028,0.07910400178102264,0.262894341411845
EUR/USD,evening_star,5,2077,36717,-2.103216605633752e-05,0.002247014938215663,4.580201621254475e-05,0.5098700048146365,0.6697325016338924,0.9981890164263792,0.3347569701846447,0.844930650254822
EUR/USD,hammer,1,451,38347,-3.235301067925343e-06,0.0009339550782702701,0.0,0.49889135254988914,0.9413884355297013,0.978846455371299,0.8406875414720062,0.8909874106387207
EUR/USD,hammer,3,451,38345,-4.2658900137777165e-05,0.0016453054899820498,-9.21714204086451e-06,0.49002217294900224,0.5821679530217994,0.7322127356143686,0.9794895555796276,0.9052125887968598
EUR/USD,hammer,5,451,38343,0.00010334724523185228,0.0020892453565843658,0.00017075505229299548,0.5476718403547672,0.2940502455583445,0.144740390365657,0.7230289770166236,0.10156280539405382
EUR/USD,hanging_man,1,448,38350,-3.806655914303372e-05,0.0009039854524248874,-2.6307189542513823e-05,0.47544642857142855,0.37325074059177255,0.29490883536200785,0.9764931944614124,0.3836167666015112
EUR/USD,hanging_man,3,448,38348,8.811400886523397e-06,0.0017035630160354312,-3.938990446204184e-05,0.49107142857142855,0.9128727183926346,0.8930514076835565,0.36627399158367235,0.8418755072827369
EUR/USD,hanging_man,5,448,38346,2.13087961102777e-05,0.002306709099248311,-4.346105747238871e-05,0.49107142857142855,0.8450698296419306,0.5635040661397323,0.0291733895748443,0.07868036085522334
EUR/USD,morning_star,1,2022,36776,-2.0522066124040967e-05,0.0010318495135506378,-1.7249711848275465e-05,0.48417408506429277,0.37125460242605546,0.20127455487078572,0.6300193176157942,0.023957794046249304
EUR/USD,morning_star,3,2021,36775,-8.042853409308933e-06,0.0017698975220146126,-8.463924637164403e-06,0.4982681840672934,0.8381481694170386,0.7682194041895882,0.01705301969724455,0.42759889206209434
EUR/USD,morning_star,5,2021,36773,1.7955465616213989e-06,0.0023347025138550402,0.0,0.4982681840672934,0.9724229357416679,0.9534581437232289,0.00657257186548785,0.6594819891540855
EUR/USD,spinning_top,1,4560,34238,-9.362376289429633e-06,0.0009800909415957862,9.0758541955551e-06,0.5028508771929825,0.518918813108895,0.7920110466194641,0.4070615071347442,0.5741846306189724
EUR/USD,spinning_top,3,4560,34236,-5.183375272640601e-05,0.0017534709447987764,-1.6796254714615444e-05,0.4892543859649123,0.045975312249959675,0.050829547369461235,0.4422109158842953,0.1664440228430354
EUR/USD,spinning_top,5,4560,34234,-4.061764664729422e-05,0.002227676103962045,0.0,0.4967105263157895,0.21829406475547325,0.22018702929701806,0.6414543138399214,0.5461116924159426
