Asset,Pattern,h,N_high,Mean_high,Std_high,Median_high,Positive_ratio_high,N_low,Mean_low,Std_low,Median_low,Positive_ratio_low,Welch_ttest_pvalue_high_vs_low,Mann_Whitney_pvalue_high_vs_low,Levene_pvalue_high_vs_low,KS_pvalue_high_vs_low
XAU/USD,bearish_engulfing,1,1105,-4.956401276967208e-05,0.0031353310473707747,7.570750119357186e-05,0.5167420814479639,1633,2.1656230600148583e-05,0.0020734674753444928,0.00010922038500121812,0.5376607470912431,0.5072270129616001,0.6254013388173046,2.398199175433041e-19,1.2091863384498747e-06
XAU/USD,bearish_engulfing,3,1105,-4.783278861442258e-05,0.004826600432221053,0.00021605954895976464,0.5330316742081448,1633,0.0001242793509374772,0.0034900297485860993,0.00018358684081241726,0.5401102265768524,0.3084457277049377,0.9370040195997495,5.027603834520801e-13,0.0010848386567937477
XAU/USD,bearish_engulfing,5,1105,-8.144923893270121e-06,0.005659937511638153,0.000390732701811899,0.5411764705882353,1633,0.00016991303839502967,0.0047564806560747,0.0003456072621661597,0.5492957746478874,0.3897655266420731,0.7675382727363386,5.713699206391884e-08,0.00404097714539332
XAU/USD,bullish_engulfing,1,1125,1.3246792863072436e-05,0.002592684018218607,-1.9277665860825545e-05,0.49422222222222223,1626,-4.759357479019067e-06,0.0017422713806812984,0.0,0.4993849938499385,0.8388974972359389,0.8703665466329688,1.884801572616104e-26,9.173182544791152e-08
XAU/USD,bullish_engulfing,3,1124,-0.00010573140315847059,0.004431138438456831,-4.329255548503756e-05,0.49110320284697506,1626,8.818047178120233e-05,0.003450730097642912,4.139232366997125e-05,0.506150061500615,0.21826498000600716,0.22071533052726078,3.4295713907274906e-08,0.0023829704459234647
XAU/USD,bullish_engulfing,5,1124,0.00015815791460229572,0.005378677134918977,4.083616820534161e-05,0.50355871886121,1626,7.781354754375735e-05,0.004333073114072629,0.0001382190407317279,0.514760147601476,0.6773891802534489,0.7961248907814561,5.059828817343399e-07,0.016377007025095754
XAU/USD,doji,1,1478,-3.4407134360306644e-05,0.002433395516153715,1.6272112474081612e-05,0.5047361299052774,2449,3.508932766352792e-05,0.0018281548877599391,2.6237697801001938e-05,0.5083707635769702,0.3430840325309057,0.9409797099720395,4.1026792532382477e-23,6.590356383120351e-07
XAU/USD,doji,3,1477,7.473802230181328e-06,0.004283304221237514,7.880640746522605e-05,0.5138794854434665,2449,0.00013022136430138357,0.0034421163752210516,0.00012244460672320055,0.5251122907309106,0.3502225529459567,0.6440024582226473,2.6789739044504585e-10,0.0026169584500094927
XAU/USD,doji,5,1477,6.56360284374369e-05,0.0053204926051527435,0.00012898630800175451,0.5145565335138795,2449,0.00012270034134156808,0.004553823043446977,6.719092821615511e-05,0.5083707635769702,0.7314142622468298,0.6369323620357724,0.00016713037087595314,0.10409112351765522
XAU/USD,evening_star,1,825,0.0001564719884986681,0.002935197039785751,0.0002018072971397953,0.5478787878787879,1230,-3.6818667046811477e-06,0.001966300353009413,0.0,0.4975609756097561,0.1696750157393856,0.009462590893746898,1.2723894481525448e-11,4.1880915437897417e-07
