Asset,Model,AIC,BIC,Log-likelihood,alpha,beta,gamma,persistence
EUR/USD,"GARCH(1,1)",254635.00910561852,254677.83972550798,-127312.50455280926,0.9999973145001622,0.0,,0.9999973145001622
EUR/USD,"EGARCH(1,1,1)",296567.5933253646,296618.99006923195,-148277.7966626823,-174.2648450362121,0.36895306418175117,399.1835573560646,-173.89589197203037
EUR/USD,"TGARCH(1,1,1)",-85435.81176017551,-85384.41501630816,42723.905880087754,0.19999991449014673,0.6949997028532598,0.009999981423966672,0.8949996173434066
