Asset,Pattern,Direction,Holding Period,total_return,mean_return,std_return,sharpe_ratio,max_drawdown,profit_factor,win_rate,n_trades
EUR/USD,hammer,long,1,-0.001654005822729232,-3.235301067925343e-06,0.0009339550782702701,-0.003464086381881746,-0.029310347788890856,0.9899001060466418,0.49889135254988914,451.0
EUR/USD,hammer,long,3,-0.019653013783057505,-4.2658900137777165e-05,0.0016453054899820498,-0.02592764711326805,-0.0455906543321527,0.9274456268340567,0.49002217294900224,451.0
EUR/USD,hammer,long,5,0.04668278657700964,0.00010334724523185228,0.0020892453565843658,0.04946630366134262,-0.0314431085797362,1.151216916328414,0.5476718403547672,451.0
EUR/USD,bullish_engulfing,long,1,-0.08123900834996989,-2.433712979733277e-05,0.0010098558932895758,-0.024099606645909932,-0.1301266114918137,0.9281045856840753,0.4785923753665689,3410.0
EUR/USD,bullish_engulfing,long,3,-0.07394279401130643,-2.1016475573810974e-05,0.0017383255194024863,-0.012090069057396659,-0.17477902332296003,0.9646445776252446,0.4935483870967742,3410.0
EUR/USD,bullish_engulfing,long,5,-0.031072515456980532,-6.803261456293086e-06,0.002215462238114796,-0.0030708090344533185,-0.11440838222731542,0.9910994473730869,0.4912023460410557,3410.0
EUR/USD,morning_star,long,1,-0.04167848612269354,-2.0522066124040967e-05,0.0010318495135506378,-0.01988862315147455,-0.08240315789883357,0.939037858407342,0.48417408506429277,2022.0
EUR/USD,morning_star,long,3,-0.01923085370450006,-8.042853409308933e-06,0.0017698975220146126,-0.0045442480760999274,-0.11465956438244862,0.9866900765551604,0.4982681840672934,2021.0
EUR/USD,morning_star,long,5,-0.0018742685500593437,1.7955465616213989e-06,0.0023347025138550402,0.0007690686719039884,-0.1360557969309485,1.002271334423571,0.4982681840672934,2021.0
EUR/USD,hanging_man,short,1,0.01701401415770243,3.806655914303372e-05,0.0009039854524248874,0.042109703249009624,-0.021313538237468288,1.1255959115620509,0.5245535714285714,448.0
EUR/USD,hanging_man,short,3,-0.004585630982768318,-8.811400886523397e-06,0.0017035630160354312,-0.005172336334836313,-0.054149751522000966,0.9852882671196623,0.5066964285714286,448.0
EUR/USD,hanging_man,short,5,-0.010679286882619987,-2.13087961102777e-05,0.002306709099248311,-0.009237747454684083,-0.05660613894135058,0.9745508449936409,0.5089285714285714,448.0
EUR/USD,bearish_engulfing,short,1,-0.051155986592061,-1.4793351354411286e-05,0.001041763688009513,-0.014200294677842713,-0.10306846021960459,0.9567974786635588,0.4929906542056075,3424.0
EUR/USD,bearish_engulfing,short,3,0.007711832593797041,3.782861047093573e-06,0.0017552987750530592,0.002155109489539309,-0.1316293399111912,1.0065792765256483,0.4856892523364486,3424.0
EUR/USD,bearish_engulfing,short,5,0.035847432410287094,1.2751129686263681e-05,0.0022213326392681158,0.00574030627419445,-0.15181350490732026,1.0170934041744233,0.4804322429906542,3424.0
EUR/USD,evening_star,short,1,-0.0075291660447842634,-3.0199170135760577e-06,0.001112677127186772,-0.002714100020381869,-0.06396224129808392,0.9916472063663653,0.4819451131439576,2077.0
EUR/USD,evening_star,short,3,-0.005317840694901821,-1.01589817566716e-06,0.0017620468962987225,-0.0005765443461244479,-0.11604265323565699,0.9982848938873473,0.47520462205103514,2077.0
EUR/USD,evening_star,short,5,0.0391922187015421,2.103216605633752e-05,0.002247014938215663,0.009360047278118675,-0.1303565781695264,1.0280274524098871,0.4867597496389023,2077.0
