Asset,Pattern,Direction,Holding Period,Gross total_return,Gross sharpe_ratio,Gross max_drawdown,Gross profit_factor,Gross win_rate,Gross n_trades,Net total_return,Net sharpe_ratio,Net max_drawdown,Net profit_factor,Net win_rate,Bootstrap mean_return CI lower,Bootstrap mean_return CI upper,Bootstrap sharpe_ratio CI lower,Bootstrap sharpe_ratio CI upper,Bootstrap profit_factor CI lower,Bootstrap profit_factor CI upper
XAU/USD,hammer,long,1,-0.03888878964429998,-0.036582633778112036,-0.08009863816611729,0.8882172002406096,0.5125858123569794,437.0,-0.07999063693488462,-0.07821150675899353,-0.11582410752309102,0.7754455134388484,0.4805491990846682,-0.00042043075803605115,3.602810040388531e-05,-0.1698093506003736,0.01637873293121135,0.5658615590110107,1.0503871207434115
XAU/USD,hammer,long,3,-0.06161654387875415,-0.03403577567670301,-0.10368213592633646,0.9003809885567383,0.5148741418764302,437.0,-0.10174879778520363,-0.05881194056309489,-0.13210914076541513,0.8338305280215634,0.4965675057208238,-0.0005965028802431882,0.00013919878749194868,-0.14217455378587648,0.03774599573649461,0.6397244326119823,1.1230048049257573
XAU/USD,hammer,long,5,-0.11235268817216315,-0.04207311172205033,-0.18403359460365354,0.8686187559220264,0.494279176201373,437.0,-0.15032019429050392,-0.05861505463181883,-0.21187991686056573,0.8216745612224347,0.4782608695652174,-0.0009147316073146062,0.00019259425188999146,-0.14680501468409915,0.03424007702323836,0.6015429746204766,1.1168078345063432
XAU/USD,bullish_engulfing,long,1,0.0009171957744358306,0.0012220035737704482,-0.1445429369415252,1.0038215688757661,0.49727371864776443,2751.0,-0.2398180861176462,-0.0457038231061197,-0.25447174329655475,0.8672146837727911,0.460196292257361,-0.0001703309685251323,-1.598079498571423e-05,-0.08096446015167169,-0.0074840371500038815,0.7763421495120347,0.9772087652342252
XAU/USD,bullish_engulfing,long,3,0.0037932093983812365,0.002298726799249002,-0.26638635865279126,1.0072021938305658,0.5,2750.0,-0.23755844225238731,-0.023461933962604882,-0.31906924490597677,0.9293850705842464,0.48545454545454547,-0.0002417709572093518,4.326350643028398e-05,-0.06313836323709959,0.011577726547200066,0.821599118294661,1.0364914879778322
XAU/USD,bullish_engulfing,long,5,0.3135590516528193,0.023113600036061062,-0.29206753273489283,1.0711662654041165,0.5101818181818182,2750.0,-0.0022468196636925564,0.0022251394177464803,-0.3662808861472018,1.0066394934747969,0.49818181818181817,-0.00018465038010310146,0.0001905184131621196,-0.03909576753853169,0.03898127973111299,0.8895965358215495,1.1222544431377872
XAU/USD,morning_star,long,1,-0.10847877136558504,-0.023907824107532574,-0.15459408981759615,0.9250052986890392,0.4845,2000.0,-0.27010021880447255,-0.06754716248730087,-0.29879827407737936,0.8025202244604033,0.4475,-0.00026075719172774373,-5.9179131548716226e-05,-0.11170135213200509,-0.02618233360269147,0.6937705244009676,0.9209084087208941
XAU/USD,morning_star,long,3,0.09480339852106856,0.01334173865588252,-0.17887881991961208,1.0431077356555833,0.5115,2000.0,-0.10365306802694096,-0.01170334422425249,-0.21604738594726514,0.9636487107015692,0.4965,-0.00021680211146003422,0.00012422780342581346,-0.05401466965034613,0.031513208082027344,0.842326524561061,1.102869393936683
XAU/USD,morning_star,long,5,0.4521136708148201,0.03989987503192074,-0.17599344584987642,1.1277782906494505,0.517,2000.0,0.18891961139530955,0.019847601609130322,-0.19940321040596032,1.06162506523978,0.505,-0.00011055259987587802,0.0003135967827453086,-0.02150272425530862,0.06424503780378427,0.9367374773960272,1.2081419221598642
XAU/USD,hanging_man,short,1,-0.013823302878911092,-0.012809168887657088,-0.04808708134716,0.9606629385102351,0.5294117647058824,493.0,-0.06126653931805548,-0.06178841587541331,-0.07892717095649093,0.8231952659305951,0.49898580121703856,-0.00031528838478733556,6.081363562817271e-05,-0.14655075339511525,0.02787212014999872,0.6242349629493862,1.0916509985263503
