Asset,Model,AIC,BIC,Log-likelihood,alpha,beta,gamma,persistence
XAU/USD,"GARCH(1,1)",-24088.19417260769,-24045.619083255573,12049.097086303846,0.19999869161136244,0.6999954095150741,,0.8999941011264365
XAU/USD,"EGARCH(1,1,1)",-24896.84363624536,-24845.75352902282,12454.42181812268,0.0939605907384177,0.9954822765303905,-0.00158908311752437,1.0894428672688081
XAU/USD,"TGARCH(1,1,1)",-24931.44833769085,-24880.358230468308,12471.724168845425,0.3959230510377237,0.5332160598513738,0.03129319395948163,0.9291391108890974
